10.1016/j.neuropsychologia.2006.10.003, Recovery from aphasia as a function of language therapy in an early bilingual patient demonstrated by fMRI 
10.1093/scan/nsq095, Reward circuitry function in autism spectrum disorders  
10.1016/j.neuroimage.2011.02.033, Dissociable networks involved in spatial and temporal order source retrieval 
10.1016/j.neuroimage.2005.12.031, Attentional modulation of the amygdala varies with personality 
10.1016/j.neulet.2005.09.072, fMRI responses to pictures of mutilation and contamination 
10.1016/j.neuroimage.2008.06.003, Neural networks for short-term memory for order differentiate high and low proficiency bilinguals 
10.1111/j.0953-816X.2004.03350.x, ‘Hearing’ syllables by ‘seeing’ visual stimuli 
10.1016/j.neuropsychologia.2009.02.019, Neural systems mediating field and observer memories 
10.1152/jn.00776.2002, Effects of Attention and Emotion on Repetition Priming and Their Modulation by Cholinergic Enhancement  
10.1523/JNEUROSCI.2540-06.2006, The Substantia Nigra Pars Compacta and Temporal Processing  
10.1016/j.biopsych.2009.03.015, Inflammation Causes Mood Changes Through Alterations in Subgenual Cingulate Activity and Mesolimbic Connectivity 
10.1152/jn.00206.2004, BOLD Repetition Decreases in Object-Responsive Ventral Visual Areas Depend on Spatial Attention  
10.1093/cercor/bhq148, Heterogeneity of the Left Temporal Lobe in Semantic Representation and Control: Priming Multiple versus Single Meanings of        Ambiguous Words       
10.1016/j.neuroimage.2005.06.069, The neural correlates of direct and reflected self-knowledge 
10.1016/j.neuroimage.2006.07.022, The effect of gender on planning: An fMRI study using the Tower of London task 
10.1523/JNEUROSCI.1016-06.2006, Mode of Functional Connectivity in Amygdala Pathways Dissociates Level of Awareness for Signals of Fear  
10.1002/hbm.20964, Optimal transcranial magnetic stimulation coil placement for targeting the dorsolateral prefrontal cortex using novel magnetic resonance image‐guided neuronavigation 
10.1016/j.neuroimage.2005.03.021, Virtual 10–20 measurement on MR images for inter-modal linking of transcranial and tomographic neuroimaging methods 
10.1002/hbm.10006, Neural basis for sentence comprehension: Grammatical and short‐term memory components 
10.1002/hbm.21270, Functional alterations of large‐scale brain networks related to cognitive control in obsessive‐compulsive disorder 
10.1016/j.neurobiolaging.2011.09.002, Brain activation disturbance for target detection in patients with mild cognitive impairment: an fMRI study 
